Name,Total,HP,Attack,Defence,Sp_attack,Sp_defence,Speed,KMeans_Cluster,PCA1,PCA2,Agg_Cluster,DBSCAN_Cluster
Sceptile,530,70,85,65,105,85,120,1,1.3455691366205154,1.5554380678929747,0,0
Mega Sceptile,630,70,110,75,145,85,145,1,2.856061248114611,2.3403364756450253,2,0
Torchic,310,45,60,40,70,50,45,0,-2.029040420058019,0.34488348863251944,1,0
Combusken,405,60,85,60,85,60,55,2,-0.5312809728668041,0.220499879743147,0,0
Blaziken,530,80,120,70,110,70,80,2,1.422397369733965,0.7183810175907946,0,0
Mega Blaziken,630,80,160,80,130,80,100,1,2.9652871036785116,1.1250485445694112,2,0
Mudkip,310,50,70,50,50,50,40,0,-2.0209852297691793,-0.1567433142252438,1,0
Marshtomp,405,70,85,70,60,70,50,2,-0.49636659402482963,-0.44218495130224944,0,0
Swampert,535,100,110,90,85,90,60,2,1.5960783960857166,-0.6101518518398606,0,0
Mega Swampert,635,100,150,110,95,110,70,1,3.1725760674788566,-0.8063914023007378,2,0
Poochyena,220,35,55,35,30,30,35,0,-3.4775199185881878,0.03752073755406192,1,0
Mightyena,420,70,90,70,60,60,70,2,-0.3282893495048371,0.11050988673460097,0,0
Zigzagoon,240,38,30,41,30,41,60,0,-3.203139777587905,0.36855846682384225,1,0
Mega Zigzagoon,240,38,30,41,30,41,60,0,-3.203139777587905,0.36855846682384225,1,0
Linoone,420,78,70,61,50,61,100,2,-0.37944417591678775,0.8238480979986302,0,0
Mega Linoone,420,78,70,61,50,61,100,2,-0.37944417591678775,0.8238480979986302,0,0
Wurmple,195,45,45,35,20,30,20,0,-3.82266761426355,-0.4441699266714956,1,0
Silcoon,205,50,35,55,25,25,15,0,-3.6774391916009668,-0.8743913230982512,1,0
Beautifly,395,60,70,50,100,50,65,0,-0.7232330974187532,0.8569235851181801,0,0
Cascoon,205,50,35,55,25,25,15,0,-3.6774391916009668,-0.8743913230982512,1,0
Dustox,385,60,50,70,50,90,65,2,-0.8236710627127518,-0.3665684520558133,0,0
Lotad,220,40,30,30,40,50,30,0,-3.412722590947061,-0.10359710874841056,1,0
Lombre,340,60,50,50,60,70,50,0,-1.5169604469263644,-0.06010966732071792,1,0
Ludicolo,480,80,70,70,90,100,70,2,0.7155080630000731,-0.010394479257178678,0,0
Seedot,220,40,40,50,30,30,30,0,-3.475045707739398,-0.3933297974936964,1,0
Nuzleaf,340,70,70,40,60,40,60,0,-1.576980829050266,0.6097425516701346,1,0
Shiftry,480,90,100,60,90,60,80,2,0.6354549754307768,0.7567230392153304,0,0
Taillow,270,40,55,30,30,30,85,0,-2.7969303374764336,1.2660771493638,1,0
Swellow,455,60,85,60,75,50,125,2,0.06749337627314854,1.8242266762832904,0,0
Wingull,270,40,30,30,55,30,85,0,-2.796948729659393,1.4792350268495273,1,0
Pelipper,440,60,50,100,95,70,65,2,-0.026294376027759803,-0.3367216671008199,0,0
Ralts,198,28,25,25,45,35,40,0,-3.8266333186530797,0.43629489182185094,1,0
Kirlia,278,38,35,35,65,55,50,0,-2.5420458807369912,0.4642663591715439,1,0
Gardevoir,518,68,65,65,125,115,80,1,1.3117164330112743,0.5481807612206226,0,0
Mega Gardevoir,618,68,85,65,165,135,100,1,2.8857566900422142,1.2276093590633184,2,0
Surskit,269,40,30,32,50,52,65,0,-2.721532843352323,0.7400511668523614,1,0
Masquerain,454,70,60,62,100,82,80,2,0.2383165230418077,0.6490482668536965,0,0
Shroomish,295,60,40,60,40,60,35,0,-2.223592649237127,-0.7052058401216128,1,0
Breloom,460,60,130,80,60,60,70,2,0.2802945444325595,-0.010208084958466054,0,0
Slakoth,280,60,60,60,35,35,30,0,-2.4988312941554782,-0.6287858675602227,1,0
Vigoroth,440,80,80,80,55,55,90,2,-0.06850874153724273,0.3346755985394642,0,0
Slaking,670,150,160,100,95,65,100,1,3.641880031854963,0.313728973920354,2,-1
Nincada,266,31,45,90,30,30,40,0,-2.8281909483471894,-0.8904326777566348,1,0
Ninjask,456,61,90,45,50,50,160,2,0.014957754527232756,2.680073120570062,0,-1
Shedinja,236,1,90,45,30,30,40,0,-3.2940529111312267,0.10693970641872758,1,-1
Whismur,240,64,51,23,51,23,28,0,-3.1046556551804567,0.26493936179533206,1,0
Loudred,360,84,71,43,71,43,48,0,-1.2088935111597598,0.30842680322302457,1,0
Exploud,490,104,91,63,91,73,68,2,0.8652418469730968,0.26376389273066686,0,0
Makuhita,237,72,60,30,20,30,25,0,-3.1275782702039456,-0.3099680607586671,1,0
Hariyama,474,144,120,60,40,60,50,2,0.6882749645971762,-0.5662378147676449,0,0
Azurill,190,50,20,40,20,40,20,0,-3.880548624174072,-0.6669038873213633,1,0
Nosepass,375,30,45,135,45,90,30,0,-1.0088547521768598,-2.3611734553054498,1,-1
Skitty,260,50,45,45,35,35,50,0,-2.8618599367850153,0.13631376348274404,1,0
Delcatty,400,70,65,65,55,55,90,2,-0.6988175884655486,0.6397882172464339,0,0
Sableye,380,50,75,75,65,65,50,0,-0.935095381229305,-0.38881351631154193,0,0
Mega Sableye,480,50,85,125,85,115,20,2,0.7668970815342572,-2.273600253720129,0,0
Mawile,380,50,85,85,55,55,50,0,-0.9662532611888814,-0.5763114361813303,0,0
Mega Mawile,480,50,105,125,55,95,50,2,0.6527525217108798,-1.6722234319205111,0,0
Aron,330,50,70,100,40,40,30,0,-1.755291811427309,-1.3448901710068277,1,0
Lairon,430,60,90,140,50,50,40,2,-0.20744629891199895,-1.8851868651180186,0,0
Aggron,530,70,110,180,60,60,50,2,1.3403992136033114,-2.42548355922921,0,-1
Mega Aggron,630,70,140,230,60,80,50,1,2.9082070542249183,-3.5263650243622315,0,-1
Meditite,280,30,40,55,40,55,60,0,-2.568241343586627,0.10866773822435313,1,0
Medicham,410,60,60,75,60,75,80,2,-0.5004930815568689,0.11894782079598899,0,0
Mega Medicham,510,60,100,85,80,85,100,2,1.0423966523876782,0.5256153477746056,0,0
Electrike,295,40,45,40,65,40,65,0,-2.3428038277728764,0.848763061696238,1,0
Manectric,475,70,75,60,105,60,105,2,0.4672314508095768,1.5169013012772707,0,0
Mega Manectric,575,70,75,80,135,80,135,1,1.994313595421589,1.9329451700177607,2,0
Plusle,405,60,50,40,85,75,95,2,-0.5777684779935007,1.3571163016605403,0,0
Minun,405,60,40,50,75,85,95,2,-0.5688609470622881,0.9750877828274392,0,0
Volbeat,430,65,73,75,47,85,85,2,-0.16929719343034805,0.01834844623933126,0,0
Illumise,430,65,47,75,73,85,85,2,-0.16931632130062596,0.2400326388244876,0,0
Roselia,400,50,60,45,100,80,65,2,-0.5920440703978006,0.7117575010502538,0,0
Gulpin,302,70,43,53,43,53,40,0,-2.1176912159893613,-0.3973937011575009,1,0
Swalot,467,100,73,83,73,83,55,2,0.5254918468176079,-0.6771527982679595,0,0
Carvanha,305,45,90,20,65,20,65,0,-2.1954408625510218,1.4302475917266324,1,0
Sharpedo,460,70,120,40,95,40,95,2,0.23662810308393592,1.7906179060117984,0,0
Mega Sharpedo,560,70,140,70,110,65,105,1,1.8120059173758154,1.388877212950085,2,0
Wailmer,400,130,70,35,70,35,60,2,-0.5495215648981001,0.6441442334474895,0,-1
Wailord,500,170,90,45,90,45,60,2,1.0973514194503913,0.43976541754266957,0,-1
Numel,305,60,60,40,65,45,35,0,-2.073054528146683,0.061965070862512336,1,0
Camerupt,460,70,100,70,105,75,40,2,0.4091898569531256,-0.2778797685863282,0,0
Mega Camerupt,560,70,120,100,145,105,20,1,2.0686668513368827,-1.1777309097223203,2,-1
Torkoal,470,70,85,140,85,70,20,2,0.5290018199667612,-2.228916068985338,0,0
Spoink,330,60,25,35,70,80,60,0,-1.6632772164572494,0.4389018977724339,1,0
Grumpig,470,80,45,65,90,110,80,2,0.558066118955006,0.20385386648452844,0,0
Spinda,360,60,60,60,60,60,60,0,-1.256145072942975,0.07676401753338916,1,0
Trapinch,290,45,100,45,45,45,10,0,-2.274834240814139,-0.7106966235365424,1,0
Vibrava,340,50,70,50,50,50,70,0,-1.6200649233210256,0.5332372042787518,1,0
Flygon,520,80,100,80,80,80,100,2,1.2235782927100205,0.5984683664202909,0,0
Cacnea,335,50,85,40,85,40,35,0,-1.62170967795775,0.3507911716944031,1,0
Cacturne,475,70,115,60,115,60,55,2,0.5907261265232926,0.49777165923959876,0,0
Swablu,310,45,40,60,40,75,50,0,-2.0135518518584026,-0.4426300704656053,1,0
Altaria,490,75,70,90,70,105,80,2,0.8300913641726433,-0.3773989083240662,0,0
Mega Altaria,590,75,110,110,110,105,80,1,2.3912019605728227,-0.3441969654451502,2,0
Zangoose,458,73,115,60,60,60,90,2,0.23922998458416284,0.7737071811133437,0,0
Seviper,458,73,100,60,100,60,65,2,0.3009515733848775,0.5625633885745259,0,0
Lunatone,460,90,55,65,95,85,70,2,0.38798618409783914,0.21733287810015342,0,0
Solrock,460,90,95,85,55,65,70,2,0.32568513792505416,-0.32818926362800505,0,0
Barboach,288,50,48,43,46,41,60,0,-2.428968882051247,0.4580444753377902,1,0
Whiscash,468,110,78,73,76,71,60,2,0.5297123815588274,-0.26632695759283687,0,0
Corphish,308,43,80,65,50,35,35,0,-2.0966029100325896,-0.3927321218616434,1,0
Crawdaunt,468,63,120,85,90,55,55,2,0.43250655490879836,-0.1422585881989449,0,0
Baltoy,300,40,40,55,40,70,55,0,-2.1955154554840197,-0.1717619015957786,1,0
Claydol,500,60,70,105,70,120,75,2,0.9936639231716972,-0.8603878321973776,0,0
Lileep,355,66,41,77,61,87,23,0,-1.2005741918999489,-1.3636776166498685,1,0
Cradily,495,86,81,97,81,107,43,2,1.0118689694542777,-1.3019602800989638,0,0
Anorith,355,45,95,50,40,50,75,0,-1.4017198113775329,0.5932469071388976,1,0
Armaldo,495,75,125,100,70,80,45,2,0.9344987463160034,-1.1022532093186501,0,0
Feebas,200,20,15,20,10,55,80,0,-3.8590259048224684,0.9622883676291188,1,0
Milotic,540,95,60,79,100,125,81,1,1.69890421033666,-0.11367199827829352,0,0
Castform,420,70,70,70,70,70,70,2,-0.3082640009326264,0.09850773824723555,0,0
Mega Castform,420,70,70,70,70,70,70,2,-0.3082640009326264,0.09850773824723555,0,0
Mega Castform X,420,70,70,70,70,70,70,2,-0.3082640009326264,0.09850773824723555,0,0
Mega Castform X,420,70,70,70,70,70,70,2,-0.3082640009326264,0.09850773824723555,0,0
Kecleon,440,60,90,70,60,120,40,2,0.16904351071090284,-1.07516538443364,0,0
Shuppet,295,44,75,35,63,33,45,0,-2.2963999277446545,0.5408601355332658,1,0
Banette,455,64,115,65,83,63,65,2,0.2416244250011296,0.3240419993685724,0,0
Mega Banette,555,64,165,75,93,83,75,1,1.8292546277816346,0.32730251726484916,2,-1
Duskull,295,20,40,90,30,90,25,0,-2.226766801041661,-1.7323544275680753,1,0
Dusclops,455,40,70,130,60,130,25,2,0.36955118192372804,-2.602431897790073,0,1
Tropius,460,99,68,83,72,87,51,2,0.43118291028907096,-0.815084889253966,0,0
Chimecho,455,75,50,80,95,90,65,2,0.2940152746513515,-0.18206316763391037,0,0
Absol,465,65,130,60,75,60,75,2,0.3761914276433554,0.6105223781224457,0,0
Mega Absol,565,65,150,60,115,60,115,1,1.860765460748746,1.9262386921412393,2,0
Wynaut,260,95,23,48,23,48,23,0,-2.711052011237133,-0.9391194146604472,1,0
Snorunt,300,50,50,50,50,50,50,0,-2.204026144953324,0.0550202968195428,1,0
Glalie,480,80,80,80,80,80,80,2,0.6396170710777223,0.12025145896108193,0,0
Mega Glalie,580,80,120,80,120,80,100,1,2.1735919172178733,0.9942106557670904,2,0
Spheal,290,70,40,50,55,50,25,0,-2.2733280970786383,-0.5483040845962247,1,0
Sealeo,410,90,60,70,75,70,45,2,-0.37756595305794083,-0.504816643168532,0,0
Walrein,530,110,80,90,95,90,65,2,1.5181961909627566,-0.46132920174083925,0,0
Clamperl,345,35,64,85,74,55,32,0,-1.4964667018637672,-0.7803117116228108,1,0
Huntail,485,55,104,105,94,75,52,2,0.7159764594904596,-0.718594375071906,0,0
Gorebyss,485,55,84,105,114,75,52,2,0.7159617457440919,-0.5480680730833243,0,0
Relicanth,485,100,90,130,45,65,55,2,0.7221435943403701,-1.6620554976527246,0,0
Luvdisc,330,43,30,55,40,65,97,0,-1.8301583067767302,0.8192088450514174,1,0
Bagon,300,45,75,60,40,30,50,0,-2.2620395350294427,-0.014051170359757718,1,0
Shelgon,420,65,95,100,60,50,50,2,-0.3391416407487167,-0.8113209828591577,0,0
Salamence,600,95,135,80,110,80,100,1,2.51074870543803,0.8636939402695172,2,0
Mega Salamence,700,95,145,130,120,90,120,1,4.009115670706299,0.38709804282522803,2,0
Beldum,300,40,55,80,35,60,30,0,-2.1816247946677865,-1.1680747450201334,1,0
Metang,420,60,75,100,55,80,50,2,-0.2858626506470893,-1.1245873035924407,0,0
Metagross,600,80,135,130,95,90,70,1,2.5287625947950683,-0.9581186436820276,2,0
Mega Metagross,700,80,145,150,105,110,110,1,4.031159046636068,-0.4917225183237271,2,-1
Regirock,580,80,100,200,50,100,50,2,2.203620482159461,-3.295555613474067,0,-1
Regice,580,80,50,100,100,200,50,1,2.5152360661211435,-1.846892169747638,0,-1
Registeel,580,80,75,150,75,150,50,1,2.3594282741403023,-2.5712238916108525,0,1
Latias,600,80,80,90,110,130,110,1,2.554610880746813,0.4622293927369685,0,0
Mega Latias,700,80,100,120,140,150,110,1,4.1446617135235995,0.016137517301127162,2,-1
Latios,600,80,90,80,130,110,110,1,2.5256632874970224,1.026786362046017,2,0
Mega Latios,700,80,130,100,160,120,110,1,4.106813946215779,0.8774598544489854,2,0
Kyogre,670,100,100,90,150,140,90,1,3.7596897510861766,0.24341960011560684,2,0
Mega Kyogre,770,100,150,90,180,160,90,1,5.38313817802506,0.39582792975122666,2,-1
Groudon,670,100,150,140,100,90,90,1,3.603900351288295,-0.6940699992333346,2,0
Mega Groudon,770,100,180,160,150,90,90,1,5.1650035908152905,-0.575604905360128,2,-1
Rayquaza,680,105,150,90,150,90,95,1,3.812339333938427,0.8281391711798595,2,2
Mega Rayquaza,780,105,180,100,180,100,115,1,5.35522171100979,1.3200698491527671,2,-1
Jirachi,600,100,100,100,100,100,100,1,2.53537921509842,0.1637389003887746,2,0
Deoxys,600,50,150,50,150,50,150,1,2.2991114811439766,3.3898858196745567,2,-1
Mega Deoxys,600,50,180,20,180,20,150,1,2.2723888883503385,4.53597137617386,2,-1
Mega Deoxys X,600,50,70,160,70,160,90,1,2.545274689872044,-1.8819097861450373,0,-1
Mega Deoxys X,600,50,95,90,95,90,180,1,2.2606514206264627,2.396512693669894,2,-1
Turtwig,318,55,68,64,45,55,31,0,-1.8708251650820007,-0.7399675330685327,1,0
Grotle,405,75,89,85,55,65,36,2,-0.4816746915965034,-1.0658251148520783,0,0
Torterra,525,95,109,105,75,85,56,2,1.414087452424194,-1.0223376734243856,0,0
Chimchar,309,44,58,44,58,44,61,0,-2.1022234898610956,0.5778532894413366,1,0
Monferno,405,64,78,52,78,52,81,2,-0.597158775510268,0.9555832981277471,0,0
Infernape,534,76,104,71,104,71,108,1,1.4120086227448017,1.276581455899946,0,0
Piplup,314,53,51,53,61,56,40,0,-1.9448835722092597,-0.19021376122832012,1,0
Prinplup,405,64,66,68,81,76,50,2,-0.4903232795191835,-0.2561981163812039,0,0
Empoleon,530,84,86,88,111,101,60,2,1.5193185212017897,-0.392401258525638,0,0
Starly,245,40,55,30,30,30,60,0,-3.1310305928498954,0.6910933839438036,1,0
Staravia,340,55,75,50,40,40,80,0,-1.6579678737394679,0.7449567581636785,1,0
Staraptor,485,85,120,70,50,60,100,2,0.6472985081636208,0.6836461110834323,0,0
Bidoof,250,59,45,40,35,40,31,0,-2.9454060062443115,-0.27944313676915583,1,0
Bibarel,410,79,85,60,55,60,71,2,-0.46568264059131564,0.242261212117746,0,0
Kricketot,194,37,25,41,25,41,25,0,-3.84641557714183,-0.48484459193729834,1,0
Kricketune,384,77,85,51,55,51,65,0,-0.8732869977351608,0.3615885056321966,1,0
Shinx,263,45,65,34,40,34,45,0,-2.798591550052473,0.3215783022950411,1,0
Luxio,363,60,85,49,60,49,60,0,-1.2184331118067775,0.40594040642456214,1,0
Luxray,523,80,120,79,95,79,70,2,1.344280612146611,0.09613843814491244,0,0
Budew,280,40,30,35,50,70,55,0,-2.4899387669160014,0.2942714909896079,1,0
Roserade,515,60,70,65,125,105,90,1,1.2085646809746335,0.89744798017432,0,0
Cranidos,350,67,125,40,30,30,58,0,-1.4378045567085573,0.42885432593454453,1,-1
Rampardos,495,97,165,60,65,50,58,2,0.9168442460463317,0.13894443912724055,0,-1
Shieldon,350,30,42,118,42,88,30,0,-1.3897850545123736,-2.0509365934042596,1,0
Bastiodon,495,60,52,168,47,138,30,2,0.9915863410361538,-3.4869320367108663,0,1
Burmy,224,40,29,45,29,45,36,0,-3.3909136886340265,-0.3118309134485552,1,0
Wormadam,424,60,59,85,79,105,36,2,-0.12118297385715797,-1.16945289039886,0,0
Mega Wormadam,424,60,79,105,59,85,36,2,-0.18349873377631057,-1.5444487301384366,0,0
Mega Wormadam X,424,60,69,95,69,95,36,2,-0.1523408538167343,-1.3569508102686483,0,0
Mothim,424,70,94,50,94,50,66,2,-0.2528656394706676,0.8119645918932394,0,0
Combee,244,30,30,42,30,42,70,0,-3.1745304507066128,0.5972643128051262,1,0
Vespiquen,474,70,80,102,80,102,40,2,0.6493491655325508,-1.3792932468291712,0,0
Pachirisu,405,60,45,70,45,90,95,2,-0.5810875864947705,0.27166554338943083,0,0
Buizel,330,55,65,35,60,30,85,0,-1.8320072077756362,1.4133227939112376,1,0
Floatzel,495,85,105,55,85,50,115,2,0.7652287496338259,1.7190153270520325,0,0
Cherubi,275,45,35,45,62,53,35,0,-2.558082362435833,-0.10503753125800055,1,0
Cherrim,450,70,60,70,87,78,85,2,0.14572057296350052,0.5243055359466118,0,0
Shellos,325,76,48,48,57,62,34,0,-1.706915035567917,-0.40277016474314703,1,0
Gastrodon,475,111,83,68,92,82,39,2,0.7213766229328129,-0.598844451675283,0,0
Ambipom,482,75,100,66,60,66,115,2,0.5655654153942246,1.161255769790361,0,0
Drifloon,348,90,50,34,60,44,70,0,-1.4330250089390648,0.834062376712116,1,0
Drifblim,498,150,80,44,90,54,80,2,1.008133974037278,0.8967553953806839,0,-1
Buneary,350,55,66,44,44,56,85,0,-1.4732486635356166,0.8626918072698391,1,0
Lopunny,480,65,76,84,54,96,105,2,0.5850160847987912,0.2788226160048896,0,0
Mega Lopunny,580,65,136,94,54,96,135,1,2.0831874205269316,0.8331076990829732,2,-1
Mismagius,495,60,60,60,105,105,105,2,0.8604140333050851,1.139759655150692,0,0
Honchkrow,505,100,125,52,105,52,71,2,1.0600510477494274,0.9037044197184134,0,0
Glameow,310,49,55,42,42,37,85,0,-2.150632226502192,1.0592768533617325,1,0
Purugly,452,71,82,64,64,59,112,2,0.08069643732864977,1.2266672657969968,0,0
Chingling,285,45,30,50,65,50,45,0,-2.436020544675704,0.07996447587420534,1,0
Stunky,329,63,63,47,41,41,74,0,-1.8010634076152137,0.6271951412063556,1,0
Skuntank,479,103,93,67,71,61,84,2,0.6217045307345661,0.477767404871439,0,0
Bronzor,300,57,24,86,24,86,23,0,-2.095723366337609,-1.861016942714954,1,0
Bronzong,500,67,89,116,79,116,33,2,1.0866920691941748,-1.9215105123419352,0,0
Bonsly,290,50,80,95,10,45,10,0,-2.3236483440236757,-2.027779147011161,1,0
Mime Jr.,310,20,25,45,70,90,60,0,-2.025640497101934,0.2931958604810631,1,0
Happiny,220,100,5,5,15,65,30,0,-3.272950156073819,-0.21783660306971508,1,-1
Chatot,411,76,65,45,92,42,91,2,-0.5227303787135297,1.4874278162935792,0,0
Spiritomb,485,50,92,108,92,108,35,2,0.8139139858270865,-1.4708049104894123,0,0
Gible,300,58,70,45,40,45,42,0,-2.1777920624214135,-0.0924208622745874,1,0
Gabite,410,68,90,65,50,55,82,2,-0.5234421980167473,0.43803320370931287,0,0
Garchomp,600,108,130,95,80,85,102,1,2.5168875425407395,0.24917844838840258,2,0
Mega Garchomp,700,108,170,115,120,95,92,1,4.122731250903693,-0.03576346682073057,2,0
Munchlax,390,135,85,40,40,85,5,2,-0.47056770089528566,-1.4428299242278384,0,-1
Riolu,285,40,70,40,35,40,60,0,-2.4887720625613996,0.47341938184856297,1,0
Lucario,525,70,110,70,115,70,90,2,1.3048774211043146,1.0196559843311925,0,0
Mega Lucario,625,70,145,88,140,70,112,1,2.813884664753507,1.4507960433241665,2,0
Hippopotas,330,68,72,78,38,42,32,0,-1.7071702143987322,-0.9745001505467936,1,0
Hippowdon,525,108,112,118,68,72,47,2,1.4135474523634612,-1.4687367797472508,0,0
Skorupi,330,40,50,90,30,55,65,0,-1.8141998971517939,-0.5611539413264126,1,0
Drapion,500,70,90,110,60,75,95,2,0.862202636154459,-0.20827235890766946,0,0
Croagunk,300,48,61,40,61,40,50,0,-2.215663533440314,0.4540395920356054,1,0
Toxicroak,490,83,106,65,86,65,85,2,0.7763463840775322,0.723414936255375,0,0
Carnivine,454,74,100,72,90,72,46,2,0.29659826897824165,-0.3063656748448917,0,0
Finneon,330,49,49,56,49,61,66,0,-1.7545326374702348,0.20478487837281173,1,0
Lumineon,460,69,69,76,69,86,91,2,0.2972361646812346,0.31919389692447864,0,0
Mantyke,345,45,20,50,60,120,50,0,-1.3580950793794537,-0.4783952313217025,1,0
Snover,334,60,62,50,62,60,40,0,-1.6072985224290746,-0.17213926478355962,1,0
Abomasnow,494,90,92,75,92,85,60,2,0.9399139957568083,-0.1976338724522199,0,0
Mega Abomasnow,594,90,132,105,132,105,30,1,2.604058691212551,-1.221098272712948,2,-1
Weavile,510,70,120,65,45,85,125,2,1.0165820572673991,1.1360685461072135,0,0
Magnezone,535,70,70,115,130,90,60,2,1.5272771336610869,-0.5982509240054475,0,0
Lickilicky,515,110,85,95,80,95,50,2,1.3221971600774698,-1.0825968714036784,0,0
Rhyperior,535,115,140,130,55,55,40,2,1.5513250991451286,-1.8287536069048302,0,0
Tangrowth,535,100,100,125,110,50,50,2,1.5016657287827793,-0.9270615742839385,0,-1
Electivire,540,75,123,67,95,85,95,1,1.5702643168475885,0.866032301064046,0,0
Magmortar,540,75,95,67,125,95,83,1,1.6199154394942876,0.7595021842375914,0,0
Togekiss,545,85,50,95,120,115,80,1,1.7290394265679372,-0.14028858184167484,0,0
Yanmega,515,86,76,86,116,56,95,2,1.1101611105958782,0.8787622508068244,0,0
Leafeon,525,65,110,130,60,65,95,2,1.2089333349300964,-0.4660586740274741,0,0
Glaceon,525,65,60,110,130,95,65,2,1.3653462354808643,-0.42464805461727695,0,0
Gliscor,510,75,95,125,45,75,95,2,1.0106781877210989,-0.647463393582062,0,0
Mamoswine,530,110,130,80,70,60,80,2,1.4321983884208283,0.14812672548514508,0,0
Porygon-Z,535,85,80,70,135,75,90,1,1.4936879827608531,1.087181124514058,0,0
Gallade,518,68,125,65,65,115,80,2,1.3117605742503773,0.03660185525487705,0,0
Mega Gallade,618,68,165,95,65,115,110,1,2.7876668472037864,0.19188680161865326,2,-1
Probopass,525,60,55,145,75,150,40,2,1.4915309299995672,-2.6578400147921752,0,1
Dusknoir,525,45,100,135,65,135,45,2,1.439803142819891,-2.2237824092771374,0,-1
Froslass,480,70,80,70,80,70,110,2,0.5429700681252575,1.1219748090367325,0,0
Rotom,440,50,50,77,95,77,91,2,-0.06453332631252662,0.6706493392777578,0,0
Mega Rotom,520,50,65,107,105,107,86,2,1.2412341115811827,-0.17190331205473017,0,0
Mega Rotom X,520,50,65,107,105,107,86,2,1.2412341115811827,-0.17190331205473017,0,0
Mega Rotom X,520,50,65,107,105,107,86,2,1.2412341115811827,-0.17190331205473017,0,0
Mega Rotom X,520,50,65,107,105,107,86,2,1.2412341115811827,-0.17190331205473017,0,0
Mega Rotom X,520,50,65,107,105,107,86,2,1.2412341115811827,-0.17190331205473017,0,0
Uxie,580,75,75,130,75,130,95,1,2.2236532920248866,-0.9625784889956341,0,0
Mesprit,580,80,105,105,105,105,80,1,2.245254200707481,-0.31735460753415623,2,0
Azelf,580,75,125,70,125,70,115,1,2.1208146502760346,1.6860865902214663,2,0
Dialga,680,100,120,120,150,100,90,1,3.804501843809266,0.043095540532377,2,0
Palkia,680,90,120,100,150,120,100,1,3.82848630161511,0.5107659433074272,2,0
Heatran,600,91,90,106,130,106,77,1,2.585227135495593,-0.22846147635044503,2,0
Regigigas,670,110,160,110,80,110,100,1,3.6663232729124644,-0.2820704429250384,2,0
Giratina,680,150,100,120,100,120,90,1,3.912832085777455,-0.7893623454907046,2,2
Mega Giratina,680,150,120,100,120,100,90,1,3.8950170239150292,-0.025305307824502542,2,2
Cresselia,600,120,70,120,75,130,85,1,2.6375724893034933,-1.1561774630011437,0,0
Phione,480,80,80,80,80,80,80,2,0.6396170710777223,0.12025145896108193,0,0
Manaphy,600,100,100,100,100,100,100,1,2.53537921509842,0.1637389003887746,2,0
Darkrai,600,70,90,90,135,90,125,1,2.4237654476639094,1.438088612476573,2,0
Shaymin,600,100,100,100,100,100,100,1,2.53537921509842,0.1637389003887746,2,0
Mega Shaymin,600,100,103,75,120,75,127,1,2.446422968610054,1.6725507302116418,2,0
Arceus,720,120,120,120,120,120,120,1,4.431141359119117,0.2072263418164674,2,-1
Victini,600,100,100,100,100,100,100,1,2.53537921509842,0.1637389003887746,2,0
Snivy,308,45,45,55,45,55,63,0,-2.1118333056980476,0.17960127484941876,1,0
Servine,413,60,60,75,60,75,83,2,-0.4604010509120535,0.18794587264638854,0,0
Serperior,528,75,75,95,75,95,113,2,1.3246713060233257,0.42628397661135703,0,0
Tepig,308,65,63,45,45,45,45,0,-2.0489815293402005,-0.005859375638603455,1,0
Pignite,418,90,93,55,70,55,55,2,-0.2889405352923606,0.12587034974821498,0,0
Emboar,528,110,123,65,100,65,65,2,1.4642739756477394,0.32139280384101027,0,0
Oshawott,308,55,55,45,63,45,45,0,-2.0626403810542273,0.1899366025687831,1,0
Dewott,413,75,75,60,83,60,60,2,-0.39648888380400144,0.2576950272702757,0,0
Samurott,528,95,100,85,108,70,70,2,1.4192007628250243,0.1158932771109979,0,0
Patrat,255,45,55,39,35,39,42,0,-2.9134000695650646,0.05700851724728802,1,0
Watchog,420,60,85,69,60,69,77,2,-0.3400825553697076,0.23985842147896327,0,0
Lillipup,275,45,60,45,25,45,55,0,-2.623482119396128,0.09905816686123335,1,0
Herdier,370,65,80,65,35,65,60,0,-1.0865132803930886,-0.29682274951896864,0,0
Stoutland,500,85,110,90,45,90,80,2,0.9720468161965716,-0.47786619544336584,0,0
Purrloin,281,41,50,37,50,37,66,0,-2.568245036531488,0.8149926441890692,1,0
Liepard,446,64,88,50,88,50,106,2,-0.01150109795477259,1.689767204208366,0,0
Pansage,316,50,53,48,53,48,64,0,-1.9870441420843934,0.4637662138331113,1,0
Simisage,498,75,98,63,98,63,101,2,0.8507927900498726,1.2796392879699294,0,0
Pansear,316,50,53,48,53,48,64,0,-1.9870441420843934,0.4637662138331113,1,0
Simisear,498,75,98,63,98,63,101,2,0.8507927900498726,1.2796392879699294,0,0
Panpour,316,50,53,48,53,48,64,0,-1.9870441420843934,0.4637662138331113,1,0
Simipour,498,75,98,63,98,63,101,2,0.8507927900498726,1.2796392879699294,0,0
Munna,292,76,25,45,67,55,24,0,-2.2154287989196098,-0.44052916916424273,1,0
Musharna,487,116,55,85,107,95,29,2,0.950014622932174,-1.1676465054584582,0,0
Pidove,264,50,55,50,36,30,43,0,-2.796816802859841,-0.05724631785540809,1,0
Tranquill,358,62,77,62,50,42,65,0,-1.3357122752725583,0.22683022044199144,1,0
Unfezant,488,80,115,80,65,55,93,2,0.6841082212348295,0.5299540654113816,0,0
