text,processed_text
Сотрудникам желаю успеха и доведения вопроса до положительного для них решения!А руководству — лучи поноса х5 и прогорания жоп до обугливания 👍🏻,сотрудник желать успех доведение вопрос положительный решение руководство луч понос х прогорание жопа обугливание
"Ох) я работал в Иркутск автодоре… ну как работал.. месяц.. свалил оттуда в ахуе, хотя я очень терпеливый, за 17 летний стаж работы, сменил только две организации. Автодор был третьей. Был водителем КАМАЗа.. ну как водителем.. ремонтником. Потому что за месяц камаз отработал три дня, все остальное ремонт. Ремонт оплачивается 100 рублей в час.Запчастей нет, всем на все пофиг, все тебя гоняют туда-сюда, ни от кого ничего не добьешься. Обещали зарплату от 80ти. В итоге, мужики получают в районе 50ти. Условий труда никаких. Работают, в основном, пенсионеры, либо те, кому осталось до пенсии дотянуть немного. Зато теперь я прекрасно понимаю, почему у нас дороги не чистятся и снег не убирается. За месяц накопилось достаточно историй",ох работать иркутск автодора работать месяц свалить оттуда ахуй хотя очень терпеливый летний стаж работа сменить организация автодора третий водитель камаз водитель ремонтник месяц камаз отработать день остальной ремонт ремонт оплачиваться рубль час запчасть весь пофига гонять туда сюда добиться обещать зарплата ти итог мужик получать район ти условие труд никакой работать основное пенсионер либо остаться пенсия дотянуть немного зато прекрасно понимать почему дорога чиститься снег убираться месяц накопиться достаточно история
"Мне кажется, что если возбудится прокуратура, то на этом предприятии выявят очень много нарушений . И не только в трудовом законодательстве. Рабочим пожелаю довести это дело до конца.",казаться возбудиться прокуратура предприятие выявить очень нарушение трудовой законодательство рабочий пожелать довести это дело конец
"К коллективу предприятия я не пойду, если им надо — пусть выходят сюда».Типичный пидор ебаный.",коллектив предприятие пойти пусть выходить сюда типичный пидор ёбаный
Профсоюз который борется за права рабочих а не на коротком поводке руководства это редкость в нынешнее время.,профсоюз который бороться право рабочий короткий поводок руководство это редкость нынешний время
"Надо же, где-то люди не позволили вытирать о себя ноги",человек позволить вытирать нога
необходимость ремонтировать технику предприятия за свой счёт и покупать рабочий инвентарьэто просто феерично 😵,необходимость ремонтировать техника предприятие свой счёт покупать рабочий инвентарьэтый просто фееричный
"Как бы это не звучало, но это хороший прецендент. Ситуация говно, конечно.",это звучать это хороший прецендент ситуация говно
В новостях вообще ноль об этом.,новость вообще ноль
"Работал в подобной шараге, директор об рабочих ноги вытирал матом крыл, зарплату платил не вовремя, но мужики терпели, работали.",работать подобный шарага директор рабочий нога вытирать мат крыло зарплата платить вовремя мужик терпеть работать
Красавчики!,красавчик
"Ремонт за свой счёт, его надо пиждить за это бесконечно, а потом продать его квартиру",ремонт свой счёт пиждить это бесконечно продать квартира
"Около прорабской толпятся рабочие — шумят, руками размахивают. Выходит прораб, говорит:— Пусть кто-нибудь один выйдет, и говорит.Крики из толпы:— Петрович! Пусть Петрович скажет!Выходит вперёд Петрович. Немного мнётся, собирается с мыслями, шмякает подшлемник о землю:— Как еб твою мать, так бля пиздец, а как ебаный в рот, так ни хуя!Из толпы голос:— Правильно, Петрович! Пока рукавицы не выдадут - работать не будем!",около прорабский толпиться рабочий шуметь рука размахивать выходить прораб говорить пусть выйти говорить крик толпа петрович пусть петрович сказать выходить вперёд петрович немного мяться собираться мысль шмякать подшлемник земля еб твой мать бля пиздец ёбаный рот хуй толпа голос правильно петрович пока рукавица выдать работать
"Водители и механизаторы остановили технику, диспетчеры прекратили работу, а офисные сотрудники покинули свои рабочие местаЯ один не понимаю что это? Тут же 4 разные касты. Насколько знаю, никогда конторские не впрягались за рабочих. Плюс ко всему, сами специальности рабочих, не особо располагают к дружбе. И поэтому эта фраза звучит, как будто все просто закончили свой рабочий день и поёбали домой",водитель механизатор остановить техника диспетчер прекратить работа офисный сотрудник покинуть свой рабочий местая понимать это разный каста насколько знать конторский впрягаться рабочий плюс весь специальность рабочий особо располагать дружба поэтому фраза звучать просто закончить свой рабочий день поёбали домой
Даешь профсоюз!,давать профсоюз
Булыжник — оружие пролетариата,булыжник оружие пролетариат
"Работники неоднократно жаловались на нарушения трудовых прав, в частности, нанеобходимость ремонтировать технику предприятия за свой счёт и покупать рабочий инвентарь.Встречаются два начальника:- Ты своим заводчанам зарплату выдаешь?- Нет.- И я нет. А они все равно на работу ходят?- Ходят.- И мои ходят. Может, вход платный сделаем?...Вход сделали платным. Проходит неделя.- Ну как, твои еще на работу ходят?- Ага, тока экономят, сволочи!!!- ?!- В понедельник приходят, а в пятницу уходят…Я думал это анекдот.",работник неоднократно жаловаться нарушение трудовой право частность нанеобходимость ремонтировать техника предприятие свой счёт покупать рабочий инвентарь встречаться начальник свой заводчан зарплата выдавать равно работа ходить ходить ходить вход платный сделать вход сделать платный проходить неделя твой работа ходить ага ток экономить сволочь понедельник приходить пятница уходить думать это анекдот
"Нарушение ТК РФ явное.Берёзкина премировать за бдительность - не стал заходить в здание, аниикоаидные законы ещё не отменены!!!Так держать Берёзкин.На организаторов массового скопления людей и создание толпы способствующих распростронение ко видной инфекции.На и каждого административку, штраф 5000 рублей и само изоляцию под надзором полиции без сохранения содержания!!!!",нарушение тк рф явный берёзкин премировать бдительность стать заходить здание аниикоаидный закон ещё отменить держать берёзкин организатор массовый скопление человек создание толпа способствовать распростронение видный инфекция каждый административка штраф рубль изоляция надзор полиция сохранение содержание
"Теперь понятно, почему хозяев заводов на вилы поднимали и жгли вместе с семьями в 1917 году. И название им народ дал верное-МИРОЕДЫ.",понятно почему хозяин завод вилы поднимать жечь вместе семья год название народ дать верный мироед
"Родная Смоленская область. Зарплаты так себе (если сравнивать с пикабушными), условия работы и правда не ахти. Только профсоюза у нас нет.",родный смоленский область зарплата сравнивать пикабушной условие работа правда ахти профсоюз
"""на необходимость ремонтировать технику предприятия за свой счёт и покупать рабочий инвентарь.""——————-Сотрудники ДПС за свой счёт патрульки ремонтируют... А тут Автодор....",необходимость ремонтировать техника предприятие свой счёт покупать рабочий инвентарь сотрудник дпс свой счёт патрулька ремонтировать автодора
"Выскажу мб непопулярное мнение, но требовать надо не улучшение условий, а смену руководство, с которым эти условия уже обсуждать. Текущее уже, скорее всего сознательно, пришло к текущей модели. И вряд ли хочет ее менять. Это их корова и они ее доют. Ок, могут пойти на уступки. Но дальше существует вероятность, что самых активных тихо уберут, гайки подзакрутят, ну и неспеша вернут прежние условия. Опять же, кто без рыльца в пуху? Все сотрудники образцовые? Проверочки, тесты и прочее, скелеты в шкафу, договоренности - и вот уже часть (в том числе из заводил) переходит в слабую позицию и возврат к текущей модели для них как подарок",высказать мб непопулярный мнение требовать улучшение условие смена руководство который условие обсуждать текущий скорее сознательно прийти текущий модель вряд хотеть менять это корова дыть около мочь пойти уступка далёкий существовать вероятность самый активный тихо убрать гайка подзакрутить неспешить вернуть прежний условие рыльце пух сотрудник образцовый проверочка тест прочее скелет шкаф договорённость часть число заводить переходить слабый позиция возврат текущий модель подарок
Профсоюз уже давно задвинули в правительстве в угоду работодателей и подточили законы в госдуме.Профсоюз мертв в РФ.,профсоюз давно задвинуть правительство угода работодатель подточить закон госдума профсоюз мёртвый рф
"Не первый раз, шахтеры так делали",первый шахтёр делать
"Зассал дерик внутрь к рабочим зайти, знать сильно прижимал.",зассать дерик внутрь рабочий зайти знать сильно прижимать
Как правило все эти директора конченые люди не знающие что такое быть обычным рабочим,правило директор конченый человек знающий обычный рабочий
"Молодцы! Единственный вид митингов/забастовок, который может реально работать. Давно и успешно, во многих частях света проверено (в том числе при создании СССР, и в РИ). А не вот эти вот сходки навальнят потусить. Во многом, потому что у сторон есть конкретные претензии и можно предметно разговаривать, а не бесопределённая позиция ""мы за всё хорошее против всего плохого и Путина"".",молодец единственный вид митинг забастовка который реально работать давно успешно многий часть свет проверить число создание ссср ри сходка навальнить потусить многое сторона конкретный претензия предметно разговаривать бесопределённый позиция всё хороший против плохой путин
Охранота дружно прибежала перекрывать Новочеркасском. Напомню что причиной волнений стало повышение цен. Что там у нас с ценами последние 30 лет кстати?,охранота дружно прибежать перекрывать новочеркасский напомнить причина волнение стать повышение цена цена последний год кстати
"Ну что, почалося?))",почалось
"Уточните оно государево или частникСудя по всему государево. Ну так прокуратура, нарушение кзота",уточнить оно государев частниксудить весь государев прокуратура нарушение кзот
"Нихуя себе,это же как нужно охуеть, чтобы заставлять человека,который тебе деньги зарабатывает, покупать инструмент и ремонтировать технику за свой счёт....",нихуй это нужно охуеть заставлять человек который деньга зарабатывать покупать инструмент ремонтировать техника свой счёт
"Вообще, хотплось бы больше подробностей, но одно ясно точно.Господина березкина следует гнать ссаными тряпками за профнепригодность. Общаться с коллективом и выяснять что происходит не так, твоя блядь обязанность. Что значит, я не пойду? А работать ты как будешь? Никак, видимо. И вот из-за господина березкина прпдприятие стоит раком. Молодец.",вообще хотплось подробность ясно точно господин берёзкин следовать гнать ссаный тряпка профнепригодность общаться коллектив выяснять происходить твой блядь обязанность значит пойти работать никак видимо господин берёзкин прпдприятие стоить рак молодец
Ремонт техники за свой счет это как?) не понимаю,ремонт техника свой счёт это понимать
Профсоюзы - это заебись. Выражаю рабоче-крестьянскую солидарность.,профсоюз это заебись выражать рабочий крестьянский солидарность
в новостях:https://regaspect.info/2025/05/29/prosto-skotskoe-otnoshenie...https://vk.com/wall-52230088_351751,новость
а чтотак можно было что ли,чтотак
"Красавцы! Вот для чего был придуман профсоюз. Объединение рабочего класса, чтобы отстаивать свои права. Вот это профсоюз здорового человека, в который и членские взносы засылать не жалко. Молодцы, так держать! Боритесь! Вы им нужнее, чем они вам",красавец придумать профсоюз объединение рабочий класс отстаивать свой право это профсоюз здоровый человек который членский взнос засылать жалко молодец держать бороться нужный
Не уж то началось!,начаться
Сколько таких персонажей становятся гражданами в час,сколько персонаж становиться гражданин час
"если взять туарегов - народ, исповедующий ислам суннитского толка, то у них лицо взрослого мужчины может видеть только жена, которая сама не закрывает лицо хDЕсть тут религиоведы, которые объяснят чзх?",взять туарег народ исповедовать ислам суннитский толк лицо взрослый мужчина видеть жена который закрывать лицо хбыть религиовед который объяснить чзх
"У некоторых видны кисти рук, вот же шлюхи",некоторый видный кисть рука шлюха
Тож бомбезная шутейка:,тож бомбезнать шутейка
"Это настолько серьезная шутка, что пост снесут скорее всего через 5 минут",это настолько серьёзный шутка пост снести скорее минута
"Падают 2 мигранта с высоты на стройке, но первым упадет уровень преступности.",падать мигрант высота стройка первый упасть уровень преступность
Бомбическая шутка,бомбический шутка
"И бороденки у всех ваххабитские,усов как таковых нет.",бородёнка ваххабитский усов таковой
"Не могу понять, где здесь шутка, ну чурка есть чурка, вот смотри есть 05 регион и чуть что они всех готовы ебать, странный народ. Вот им говоришь что он ослоёб он. Обижаются, а вот оно не просто так прилипает к нации, как например к циганам что они конокрады, а эти чурки и они чурки, а почему обижаются?",мочь понять шутка чурка чурка смотреть регион готовый ебать странный народ говорить ослоести обижаться оно просто прилипать нация например циган конокрад чурка чурка почему обижаться
"Неплохо, я бы сказала, очень даже недурственно.",неплохо сказать очень недурственный
Дырки от бубликов,дырка бубликовый
чёрный юмор ),чёрный юмор
Не пропадать же добру! Пойдёт на зло!,пропадать добро пойти зло
"приходят люди в никабах группой на нудистский пляж, а там люди только в черных очках",приходить человек никаба группа нудистский пляж человек чёрный очки
"Было бы смешно, если бы не было правдой🤦",смешно правда
"О, москвичи",москвич
"Это нифига не смешно. А помните не так давно говорили: ""Хотите как в европе?"" Я ещё тогда спрашивал у таких, у нас то что сильно иначе? Теперь хлебаем по полной. Ну может до европы ещё не докатились, но несёмся в ту же сторону на всех парах. Под руководством гаранта, который у власти уже не первый десяток лет. И видимо эту проблему решать особо не намерен. Хотя она уже перезрела в нарыв и вот вот рванёт. Вроде некоторые от власти типа Бастрыкина чет начинают на эту тему вещать и вроде какие то подвижки вроде как начались. Но всё это напоминает иммитацию бурной деятельности с нулевым результатом. Может я ошибаюсь, будем посмотреть. Но прогнозы у мну тревожные.",это нифига смешно помнить давно говорить хотеть европа ещё спрашивать сильно иначе хлебать полный европа ещё докатиться нестись сторона пара руководство гарант который власть первый десятка год видимо проблема решать особо намеренный хотя перезрелый нарыв рвануть вроде некоторый власть тип бастрыкин чета начинать тема вещать вроде подвижка вроде начаться всё это напоминать иммитация бурный деятельность нулевой результат ошибаться посмотреть прогноз мять тревожный
"борода есть/усов нет - значит есть повод как минимум прошманать (включая проверку телефона), а лучше на 15 суток закрыть от греха подальше",борода усов значит повод минимум прошманать включая проверка телефон сутки закрыть грех далёкий
Ахахахаххах,ахахахахха
"Чернушно, но смешно)",чернушный смешно
Назгулы...блин,назгул блин
"Баян, но ещё актуально",баян ещё актуально
Я эту шутку ещё в журнале Крокодил в детстве видела.,шутка ещё журнал крокодил детство видеть
Удялит через 3...2..1...,удялита
Одну шепнул и муж дэанолнился))),шепнуть муж дэанолниться
"- выбираю категорию ""любовницы Куклачёва"" за 500- и вам попался кот в мешке!",выбирать категория любовница куклачёв попасться кот мешок
"Спор заведомо бесплоден,Спорят викинг и раввин:Бог один, и он не Один –Один – бог, и не один...Раввин и викинг в жарком спореСошлись на том, что сила в Торе!",спор заведомо бесплодный спорить викинг раввин бог бог раввин викинг жаркий споресойтись сила тора
"В советском союзе была шутка: и евреи и наркоманы хотят попасть в вену.Для справки - т.к. дипотношений у СССР с Израилем не было, репатриация евреев проходила через Австрию (Вена) некоторые я так понимаю оттуда не в Израиль а в штаты сразу ехали",советский союз шутка еврей наркоман хотеть попасть вена справка дипотношение ссср израиль репатриация еврей проходить австрия вена некоторый понимать оттуда израиль штат сразу ехать
"Эту шутку придумал мой друг, а я анонимно опубликовала два года назад.Новое оформление удачное, я рада что она зашла народу)",шутка придумать друг анонимно опубликовать год назад новый оформление удачный рада зайти народ
"Да нормальная шутеечка, тонкая",нормальный шутеечка тонкий
Вопрос за 300,вопрос
Твоя играhttps://vk.com/video269201290_456241234VK●9:11,твой игра
"Что-то не догнал, а что за закладки в торе у наркоманов?",догнать закладка тора наркоман
А чем они тогда различаются?,различаться
"Отличие в том, что наркоманы ещё и в рулетки играют",отличие наркоман ещё рулетка играть
"шутки хуютками, но хасиды пользуясь мафиозной крышей в высших кругах беспрепятственно трафили наркоту и запрещёнку в своих священных котелках, здорово поднявшись в криминальном мире. какое-то время назад у Интерпола и европейских селян жопа жарко полыхала от этого. потом чем-то притушили... семитолом, наверно. а один еврейчик даже хвалебное кино снял по мотивам, дюже популярное у гоев.",шутка хуютками хасид пользоваться мафиозный крыша высокий круг беспрепятственно трафить наркота запрещёнка свой священный котелок здорово подняться криминальный мир время назад интерпол европейский селянин жопа жарко полыхать притушить семитол наверно еврейчик хвалебный кино снять мотив дюже популярный гоев
"Можно бригаду?Тор - фигура геометрическая, как в ней может быть закладка?",бригада тор фигура геометрический закладка
Категория Башмаки за 500Фото рваных ботинокА чего такие хуëвые?А что ты хотел за 500?,категория башмак фото рваный ботинок хуëвыя хотеть
А ещё охуительные истории к своему приходу,ещё охуительный история свой приход
Вот и каникулы начались...,каникулы начаться
Сначала не понял а потом как понял XD,сначала понять понять
"Так раввины также торгуют наркотиками, только духовными, а не физическими, те же самые сектанты.",раввин также торговать наркотик духовный физический самый сектант
чё такое 7:40?,
Даже звуки из игры в голове по картинкам воспроизводится,звук игра голова картинка воспроизводиться
Веселящий газ может ещё?,веселить газ ещё
Йохан Львович,йохан львович
Шутка ржачная,шутка ржачный
"Вообще нихуа не понял.. сплошная, мерзкая хуцпа, одним словом.",вообще нихуа понять сплошной мерзкий хуцп слово
рки проч от тороидальных трансформаторов!,рки проч тороидальный трансформатор
Прям слышу его голос)),прям слышать голос
"Закладки в телеграмм делают. Знакомый есть который в теме, объяснял.",закладка телеграмма делать знакомый который тема объяснять
"Какой там сайт сейчас, вместо гидры?",сайт вместо гидра
"А где подпись под картинкой ""и это - верный ответ""?))))))))",подпись картинка это верный ответ
Разве не 4:40?,
"Какие закладки ещё. Тора - это свиток, то есть рулон",закладка ещё тор это свиток рулон
"а какой предполагался ответ, если этот неправильный?",предполагаться ответ неправильный
А что такое тора?,тор
Прикольно. И правда как в пионерлагере )),прикольно правда пионерлагерь
"Хоть и напоминает ""Любовно и прельстиво"", но прямо слезу вышибает какой то простодушной искренностью.",напоминать любовно прельстивый прямо слеза вышибать простодушный искренность
"Племянник с ними столкнулся сами знаете где, говорит - ребята без страха и упрека. В рацию по-деловому сообщают: мы окружены, идём на прорыв. И чешут без всякой паники.",племянник столкнуться знать говорить ребята страх упрёк рация деловой сообщать окружить идти прорыв чесать всякий паника
Молодцы ребята!Это подороже всяких подарков будет. Это от души,молодец ребята это дорогой всякий подарок это душа
Праведность из плоти и крови - это очень сильно!,праведность плоть кровь это очень сильно
"Какая милота. Мне кажется, любой доктор или медсестра был бы рад такой открытке.",милот казаться любой доктор медсестра рад открытка
"Мило,наивно. Улыбнуло)",мило наивно улыбнуть
"Ну а чем ещё заниматься в госпитале, где и книг-то на корейском наверное нет, чтобы как-то время скоротать, нашли карандаши и бумагу и вспомнили детство)Я тоже любила в детстве открытки рисовать)",ещё заниматься госпиталь книга корейский наверное время скоротать наслать карандаш бумага вспомнить детство любить детство открытка рисовать
"Ну блин, а что они могли ещё оставить на память, как поблагодарить? Умницы, молодцы ребята! И спасибо их стране за плечо в трудный момент!",блин мочь ещё оставить память поблагодарить умница молодец ребята спасибо страна плечо трудный момент
Там же солдатики молодые. Да побитые. Вот и вскрылась искренность.,солдатик молодой побить вскрыться искренность
"Сильные духом, высокие помыслами! Способные мыслить выше бытового уровня, как советский народ когда-то.",сильный дух высокий помысел способный мыслить выше бытовой уровень советский народ
Хорошие ребята,хороший ребята
Это очень круто и мило!,это очень круто мило
Вера Васильевна ок.,вера василиевич около
"Судя по стилю, тут поработали господа корейские политработники. Впрочем, выглядит достаточно душевно",судить стиль поработать господин корейский политработник выглядеть достаточно душевно
Аж всплакнул 🥲,аж всплакнуть
"А ещё пару лет назад: ""Вы чо, хотите как в Северной Корее?""",ещё пара год назад хотеть северный корея
"В 12 м году работал на одном объекте. И был подрядчик по штукатурным работам а у него 40 корейцев. Работали как звери, качественно и быстро. Но везде были разбросаны маленькие книжечки- учение чучхе. Притащил домой. С женой ржали до колик)",м год работать объект подрядчик штукатурный работа кореец работать зверь качественно быстро везде разбросать маленький книжечка учение чучхе притащить домой жена ржать колика
"Такие трогательные. Люди с большой буквы. В 2013 году мой дом многоквартирный строили. Хорошие люди, спокойные. Дом один из лучших по качеству среди подобных.",трогательный человек большой буква год дом многоквартирный строить хороший человек спокойный дом хороший качество среди подобный
В военных госпиталях всегда все от души. С обеих сторон,военный госпиталь душа оба сторона
"Друг познаётся в беде. От северо корейцев конечно не ожидал, но вот предательства от всех стран снг кроме Беларуси/ии(не военной ) так стратегической : население маленькое для армии , а во расположение и территории да. +ещё с.корейцы отвлекают на себя немного/много внимание япошек и июжнокорейцев. А так да братушки , хоть и не говорят по нашему но это исправимо и наше население , думаю будет успешно топить за иммигрантов из Кореи или на худой конец из Китая, чем за дилдоджонстановцев.",друг познаваться беда северо кореец ожидать предательство страна снг кроме беларусь ия военный стратегический население маленький армия расположение территория ещё кореец отвлекать немного внимание япошка июжнокореец братушка говорить наш это исправимый наш население думать успешно топить иммигрант корея худой конец китай дилдоджонстановец
"Я думаю, это воспитание. Простое человеческое воспитание с вековыми традициями.",думать это воспитание простой человеческий воспитание вековой традиция
Утверждения прессы об участии военнослужащих Корейской народной армии в специальной военной операции России на Украине напоминают очередную информационную утку. Такую оценку дал на брифинге пресс-секретарь президента РФ Дмитрий Песков.,утверждение пресса участие военнослужащий корейский народный армия специальный военный операция россия украина напоминать очередной информационный утка оценка дать брифинг пресс секретарь президент рф дмитрий песок
Отличные парни!,отличный парень
"Если бы наши лечились в Корее, то там на стенах тоже бы остались надписи на русском...",наш лечиться корея стена остаться надпись русский
"Пиздец, гойданутый мир победил. Вся лента в пропаганде уровня пародий. Адекватное большинство заебалось реагировать, в комментариях одни боты и телевизороголовые)",пиздец гойдануть мир победить весь лента пропаганда уровень пародия адекватный большинство заебалось реагировать комментарий бот телевизороголовый
ПравильноКорейцы молодцы,правильнокореец молодец
"Праведность из плоти и крови! Черепа к трону из черепов! Ой, то есть, за Императора, само собой!",праведность плоть кровь череп трон черепов ой император
"Как то раз попал в нашу богадельню по скорой северокорейский гастарбайтер. Поставили ему диагноз ""туберкулез с бацилловыделением"", и бедняга чуть не заплакал от радости. Лечиться несколько месяцев в российской туббольнице ему хотелось явно сильнее, чем возвращаться на Родину",попасть наш богадельня скорый северокорейский гастарбайтер поставить диагноз туберкулёз бацилловыделение бедняга заплакать радость лечиться несколько месяц российский туббольница хотеться явно сильный возвращаться родина
"Ну, какая страна такие и братушки",страна братушка
"Два года ""патриотическое"" сообщество Пикабу верещало ""Какая Северная Корея?! Выфсёврёте!!! ЦИПСО!!!""А теперь вот так вот.Вам там где то ""этодругин"" на завтрак выдают?",год патриотический сообщество пикаба верещать северный корея выфсёврать ципсо этодругин завтрак выдавать
