text,processed_text
Там же солдатики молодые. Да побитые. Вот и вскрылась искренность.,солдатик молодой побить вскрыться искренность
"Сильные духом, высокие помыслами! Способные мыслить выше бытового уровня, как советский народ когда-то.",сильный дух высокий помысел способный мыслить выше бытовой уровень советский народ
Хорошие ребята,хороший ребята
Аж всплакнул 🥲,аж всплакнуть
"А ещё пару лет назад: ""Вы чо, хотите как в Северной Корее?""",ещё пара год назад хотеть северный корея
"В 12 м году работал на одном объекте. И был подрядчик по штукатурным работам а у него 40 корейцев. Работали как звери, качественно и быстро. Но везде были разбросаны маленькие книжечки- учение чучхе. Притащил домой. С женой ржали до колик)",м год работать объект подрядчик штукатурный работа кореец работать зверь качественно быстро везде разбросать маленький книжечка учение чучхе притащить домой жена ржать колика
В военных госпиталях всегда все от души. С обеих сторон,военный госпиталь душа оба сторона
"Друг познаётся в беде. От северо корейцев конечно не ожидал, но вот предательства от всех стран снг кроме Беларуси/ии(не военной ) так стратегической : население маленькое для армии , а во расположение и территории да. +ещё с.корейцы отвлекают на себя немного/много внимание япошек и июжнокорейцев. А так да братушки , хоть и не говорят по нашему но это исправимо и наше население , думаю будет успешно топить за иммигрантов из Кореи или на худой конец из Китая, чем за дилдоджонстановцев.",друг познаваться беда северо кореец ожидать предательство страна снг кроме беларусь ия военный стратегический население маленький армия расположение территория ещё кореец отвлекать немного внимание япошка июжнокореец братушка говорить наш это исправимый наш население думать успешно топить иммигрант корея худой конец китай дилдоджонстановец
"Я думаю, это воспитание. Простое человеческое воспитание с вековыми традициями.",думать это воспитание простой человеческий воспитание вековой традиция
Утверждения прессы об участии военнослужащих Корейской народной армии в специальной военной операции России на Украине напоминают очередную информационную утку. Такую оценку дал на брифинге пресс-секретарь президента РФ Дмитрий Песков.,утверждение пресса участие военнослужащий корейский народный армия специальный военный операция россия украина напоминать очередной информационный утка оценка дать брифинг пресс секретарь президент рф дмитрий песок
"Если бы наши лечились в Корее, то там на стенах тоже бы остались надписи на русском...",наш лечиться корея стена остаться надпись русский
"Пиздец, гойданутый мир победил. Вся лента в пропаганде уровня пародий. Адекватное большинство заебалось реагировать, в комментариях одни боты и телевизороголовые)",пиздец гойдануть мир победить весь лента пропаганда уровень пародия адекватный большинство заебалось реагировать комментарий бот телевизороголовый
"Праведность из плоти и крови! Черепа к трону из черепов! Ой, то есть, за Императора, само собой!",праведность плоть кровь череп трон черепов ой император
"Как то раз попал в нашу богадельню по скорой северокорейский гастарбайтер. Поставили ему диагноз ""туберкулез с бацилловыделением"", и бедняга чуть не заплакал от радости. Лечиться несколько месяцев в российской туббольнице ему хотелось явно сильнее, чем возвращаться на Родину",попасть наш богадельня скорый северокорейский гастарбайтер поставить диагноз туберкулёз бацилловыделение бедняга заплакать радость лечиться несколько месяц российский туббольница хотеться явно сильный возвращаться родина
"Ну, какая страна такие и братушки",страна братушка
"Два года ""патриотическое"" сообщество Пикабу верещало ""Какая Северная Корея?! Выфсёврёте!!! ЦИПСО!!!""А теперь вот так вот.Вам там где то ""этодругин"" на завтрак выдают?",год патриотический сообщество пикаба верещать северный корея выфсёврать ципсо этодругин завтрак выдавать
"дожили, какие-то темные кндровцы наши друзья, а еще талибов забыл",дожить тёмный кндровца наш друг талиб забыть
"Мне как то Виктор Цой и Костя Дзю залетают лучше, чем Верка Сердючка. Костя правда поёт плохо, зато хлопает хорошо.",виктор цой костя дзю залетать верка сердючка костя правда петь плохо зато хлопать
"Светлые люди. Прям охренительный контраст на фоне выродков, мажущих себе промежность краской красной и стреляющей баллистикой по вокзалу своего же города (Краматорск), чтобы обвинить в этом русских.",светлый человек прям охренительный контраст фон выродок мазать промежность краска красный стрелять баллистика вокзал свой город краматорск обвинить русский
"Я встречал нескольких северокорейцев, которым удалось сбежать. Они в ужасе от своего правительства. Это мафиозное правительство, которым управляет одна семья, по сравнению с которым сериалы «The Godfather» и «The Sopranos» кажутся слабыми.Настоящие северокорейцы просто смирились со своей судьбой и следуют правилам, иначе произойдут очень плохие вещи.Но позвольте мне спросить: какие общие культурные и политические ценности разделяют русские и северокорейцы?",встречать несколько северокореец который удаться сбежать ужас свой правительство это мафиозный правительство который управлять семья сравнение который сериал казаться слабый настоящий северокореец просто смириться свой судьба следовать правило иначе произойти очень плохой вещь позволить спросить общий культурный политический ценность разделять русский северокореец
"господи сразу 4 таких амбала, сколько же надо чтоб их просто прокормить)) у моей сестры двое жрут как не в себя, а тут целых 4, теперь 5) сил вам и удачи",господь сразу амбал сколько просто прокормить сестра двое жрать целый сила удача
Кристофер Хивью на фото?,кристофер хивить фото
"У каждого есть тот самый друг, который портит красивое постановочное фото)))",каждый самый друг который портить красивый постановочный фото
"Это идеальное лицо для ДПСника, оно прям кричит: ну что, молодой человек, в трубочку дыхнем или сразу на освидетельствование поедем?",это идеальный лицо дпсник оно прям кричать молодой человек трубочка дыхнуть сразу освидетельствование поехать
С самодельного ребенка проорал,самодельный ребёнок проорать
"Как жаль, что нормальные люди постоянно оправдываются, за доброе дело, за немного полненького ребенка, за свою замечательную семью, а придурки ничего не стесняются!Лично я, вам верю, шлю лучи поддержки и пожелания добра и счастья!",жаль нормальный человек постоянно оправдываться добрый дело немного полненький ребёнок замечательный семья придурок стесняться лично верить слать луч поддержка пожелание добро счастие
"А ""мышь серая многодетная одна штука"" оказалась весьма обаятельной и позитивной натурой. Всё получится.",мышь серый многодетный штука оказаться весьма обаятельный позитивный натура всё получиться
"у меня был двоюродный брат. сложная ситуация в семье. 9 классов - еле-еле. в шарагу определили. еле-еле закончил. мутные кампании. факт - были наркотики. пропадал прям на месяца. наша семья - не плохая, но бедная понятно, 90е. он как-то там нагуляется по злачным местам - к нам придет, в тишину и покой. и по новой.честно говоря все думали что он все ж в эту пропасть провалится. вот все.а он ниче... как-то вот по самому краю этой пропасти прошел. к 25ти начал норм работать уже. семья сейчас, дети, норм мужик.удачи вам автор, в этом нелегком деле.",двоюродный брат сложный ситуация семья класс еле еле шарагу определить еле еле закончить мутный кампания факт наркотик пропадать прям месяц наш семья плохой бедный понятно нагуляться злачный место прийти тишина покой новый честно говорить думать пропасть провалиться край пропасть пройти ти начать норма работать семья ребёнок норма мужик удача автор нелёгкий дело
"Писал в предыдущем посте, но думаю что можно и здесь продублироватьЧасть этой истории, наглядный пример долбаебам, которые с гордостью заявляют: ""Ну бухаю! И че такова?""",писать предыдущий пост думать продублироватьчасть история наглядный пример долбаебам который гордость заявлять бухать че таковой
"Прямо олицетворение России, точнее российской глубинки, от просмотра фоток мне даже чуть теплее стало в офисе, хотя уже три дня мерзнем без отопления (в Новосибе)Вы все большие молодцы!",прямо олицетворение россия точнее российский глубинка просмотр фотка тёплый стать офис хотя день мёрзнуть отопление новосиб больший молодец
"Прекрасная семья, где Женя точно будет своим. Много мальчишек, здорово! Целая бригада, вместе горы свернут.",прекрасный семья женя точно свой мальчишка здорово целый бригада вместе гора свернуть
"это первое, что я читаю с начала всей ситуации. Линара заткнула всех диванных экспертов. Пруфы хотите? Нате, все по полочкам, мошейница? Нате фото меня и всей моей семьи! Красотка просто!",это первый читать начало весь ситуация линар заткнуть диванный эксперт пруфа хотеть нате полочка мошейница нате фото весь семья красотка просто
"Ещё и карлика эксплуатируют, заставляют за рабами надзирать :/",ещё карлик эксплуатировать заставлять раб надзирать
"Вы классные! :) у нас тоже фоток нет нормальных, дети старшие - подростки, вообще сейчас не хотят фоткаться, ыыы",классный фотка нормальный ребёнок старший подросток вообще хотеть фоткаться ыыы
Что за собака у мамы на руках? Ваем собакам собака!!! ))),собака мама рука вать собака собака
"Пальцем в небо тыкну, это не белорецк случайно?",палец небо тыкнуть это белорецк случайно
"Парню успехов и не начать бухать, пойдя по стопам матери.",парень успех начать бухать пойти стопа мать
"Это уже для продвинутых. Я ещё вот такой аналоговый ""ключ"" застал).",это продвинуть ещё аналоговый ключ застать
Картинка с запахом,картинка запах
"Эта тема с "" кодовым замком"" напомнила мне немного о прошлом.Помню в далеком 1991 ом году по молодости пришлось поработать в телеателье , радиомехаником по ТВ. Предприятия закрывались , работы особо не было, поэтому пришлось поработать на этом поприще. Время было мутное и люди тоже попадались мутные. ( по сути , это были те же самые бывшие граждане СССР, "" порядочные , добрые и отзывчивые "" , которые вдруг резко изменились в новой эпохе.)Как то раз сидел на работе , разбирался с каким -то телевизором . Вдруг в цех зашли какие-то два мужика в пальто и меховых шапках и решительно направились в аквариум , где сидел начальник цеха. Вскоре они вышли оттуда и направились к моему столу.Из большой сумки они вытащили советский видеомагнитофон ВМ-12 и поставили мне на стол, со словами :""Сказали к тебе подойти, это по твоей части.""Я попытался обьяснить им , что, мол, занят своей работой, но из-за его спины робко показался начальник цеха и сказал мне "" ну посмотри, что там у ребят""Один из "" ребят"" с интонацией хозяина жизни пояснил мне , что "" купил видак дочке прямо с базы, а он сразу из упаковки не работает, дочка плачет ""В общем, пришлось отвлечься, разобрать и посмотреть.Сегодня я не помню, что с ним было конкретно, но помню , что я сразу увидел искривленный рычажок типа для расправки ленты. ( из-за этого он стопорился сразу при запуске) После того, как я пассатижами его подогнул, видак сразу заработал как надо.( был заводской брак)Хозяин видака очень обрадовался , достал бумажник, вытащил оттуда банкноту в 5 долларов и положил мне на стол. ( Сегодня многие подзабыли , что в то время по стране ходили доллары наряду с рублями, да и сумма эта была вполне ощутимая по тем голодным временам)Я не успел что-то осознать, как этот мужик приказным тоном озвучил мне свой план: Давай, собирайся, одевайся, доедем до дочки , подключишь видак, надо ей все настроить , чтобы она мне не выносила кукушку""Я попытался напомнить, что "" я же на работе"" , но снова нарисовался начальник цеха и произнес "" ну , сьезди , помоги ребятам, на работу оттуда сегодня уже не приходи, а я рабочий день закрою, как полный"". Вроде заплатили уже , много больше , чем надо было , отказаться как то не получалось.Я вообще посчитал, что это его были какие -то знакомые, ведь регулярно к нему приходили какие-то друзья и тд. Поэтому выключил все и пошел одеваться.На улице меня усадили в черную Волгу и мы поехали к дочке.( да, в те годы еще много кто ездил на таких машинах)В салоне авто уже сидели какие-то немолодые мужики, в итоге , ехали пятером. Я сидел позади в середине. Пока ехали, они обсуждали какой-то овощной магазин, какие-то накладные, какие-то проверки, в общем, ничего криминального, но я чувствовал себя весьма мерзко, размышляя про эти пять долларов.Приехав на нужный адрес, мы поднялись в лифте на 8 ой этаж и мой "" клиент"" позвонил в дверь. Открывали долго, минут десять, мужик переговаривался с дочерью через дверь , мол "" это я , доча, открывай""Дверь открыла такая недовольная девица в пижаме, с заспанной мятой физиономией.Отец ей представил меня и пояснил : "" Вот, привез тебе мастера, он все настроит. А я убегаю, у меня работа. Ах да! Я ему уже заплатил! Хорошо заплатил, поэтому ничего ему не плати!"" С этими словами за ним захлопнулась дверь.Я поставил видеомагнитофон на тумбочку рядом с телевизором. Это был такой типовой 3УСЦТ, (телевизор третьего поколения) ,как раз, с таким же кнопочным блоком выбора и настройки, но на 8 каналов. При чем над кнопкой номер 8 был нарисован специальный символ видеомагнитофона. Если не вдаваться в тонкости схемотехники, просто поясню, что при восьмом канале изменялась "" постоянная времени фильтра подстройки частоты импульсов развертки "" , для ситуации , когда лента кассеты растягивается и из-за этого изображение не должно сбиваться. Рассчитан этот канал был как раз на просмотр видео.Поэтому я настроил канал для просмотра видака на восьмую кнопку и стал показывать девице. Однако, она недовольным голосом заявила , что "" на восьмом канале у нас Ника!( был такой канал местного ТВ)Я попытался обьяснить, что"" восьмой канал на заводе настроили для видеомагнитофона, вон даже символ нарисовали"" Эту Нику настроил ей на соседний седьмой , тем более , что в то время в городе каналов вещания было всего 4-5, поэтому свободные кнопки были.Дева махнула рукой, мол,""ладно, понятно короче"" , и я ушел домой.На следующий день , в середине дня, в цех опять забежал тот мужик , подошел ко мне и с агрессивным тоном спросил: "" Ты чо творишь, бля? Ты нахуя девчонку обидел? Я тебе заплатил , как человеку, думал, сделаешь , как надо, а ты дочу мою до слез довел?!!!нихуя не сделал и свалил!""Я прихуел от такого наезда, стал обьяснять, мол , я все настроил и ушел , все работало, деве вашей показал. Она сказала "" все нормально, до свидания"" , что там у вас случилось? Я в чем виноват?Конечно, в первый момент я немного обосрался , ведь никто не знает, что могло произойти с той девой после того, как я ушел домой. Этого мне еще не хватало.Мужик отвечал , мол "" Да дочка плачет, ты ей ничего не настроил, ушел , а изображение дергается, смотреть невозможно ""Я попытался предложить "" может поехали снова? я вам покажу что все работало""Ответил "" да уже не надо! мы вызвали мастера по обьявлению, он там что-то припаял , теперь все работает""С этими словами достал какую -то небольшую сумму денег , протянул мне и произнес: "" а те пять баксов верни."" При мне их не было, и он сказал "" дочке моей потом занесешь"". ( занес , конечно, чтобы поскорей отделаться от этой гадкой истории)Вот так, пришлось столкнуться с обывательской глупостью таким неприятным образом. Мерзко было не из-за денег, а из-за их нежелании вникать в суть этих кнопок , колесиков и тп.(Тот ""мастер по обьявлению"" тупо припаял перемычку , из-за которой видак работал на любом канале, но я исходил из замысла включать на определенном канале.Да и ехал я "" просто настроить каналы"" , что я и сделал.Хотя , наверное, я сам должен был припаять эту перемычку "" от тупости обывателя"")Ну и время было такое, когда в обществе появились такие "" хозяева новой жизни"", да и на фоне тогдашней общей криминальной обстановки, не получилось сразу послать подальше этого гражданина с его видаком.Простите, меня старого за такие воспоминания.Но так вышло , что в том доме , в том подьезде , сегодня живет моя родственница и этот эпизод иногда всплывает в памяти.Показать полностью",тема кодовый замок напомнить немного прошлый помнить далёкий ом год молодость прийтись поработать телеателье радиомеханик тв предприятие закрываться работа особо поэтому прийтись поработать поприще время мутный человек попадаться мутный суть это самый бывший гражданин ссср порядочный добрый отзывчивый который резко измениться новый эпоха сидеть работа разбираться телевизор цех заслать мужик пальто меховой шапка решительно направиться аквариум сидеть начальник цех вскоре выйти оттуда направиться стол большой сумка вытащить советский видеомагнитофон вм поставить стол слово сказать подойти это твой часть попытаться обьяснить мол занятый свой работа спина робко показаться начальник цех сказать посмотреть ребята ребята интонация хозяин жизнь пояснить купить видак дочка прямо база сразу упаковка работать дочка плакать общий прийтись отвлечься разобрать посмотреть сегодня помнить конкретно помнить сразу увидеть искривить рычажок тип расправка лента стопориться сразу запуск пассатижи подогнуть видак сразу заработать заводский брак хозяин видака очень обрадоваться достать бумажник вытащить оттуда банкнот доллар положить стол сегодня многие подзабыть время страна ходить доллар наряду рубль сумма вполне ощутимый голодный время успеть осознать мужик приказный тон озвучить свой план давать собираться одеваться доехать дочка подключить видак настроить выносить кукушка попытаться напомнить работа снова нарисоваться начальник цех произнести сьездить помочь ребята работа оттуда сегодня приходить рабочий день закрой полный вроде заплатить отказаться получаться вообще посчитать это знакомый регулярно приходить друг тд поэтому выключить пойти одеваться улица усадить чёрный волга поехать дочка год ездить машина салон авто сидеть немолодой мужик итог ехать пятер сидеть позади середина пока ехать обсуждать овощной магазин накладный проверка общий криминальный чувствовать весьма мерзко размышлять пять доллар приехать нужный адрес подняться лифт ой этаж клиент позвонить дверь открывать долго минута десять мужик переговариваться дочь дверь мол это дотать открывать дверь открыть недовольный девица пижама заспанный мятый физиономия отец представить пояснить привезти мастер настроить убегать работа ах заплатить заплатить поэтому платить слово захлопнуться дверь поставить видеомагнитофон тумбочка рядом телевизор это типовой усцт телевизор третий поколение кнопочный блок выбор настройка канал кнопка номер нарисовать специальный символ видеомагнитофон вдаваться тонкость схемотехник просто пояснить восьмой канал изменяться постоянный время фильтр подстройка частота импульс развёртка ситуация лента кассета растягиваться изображение должный сбиваться рассчитать канал просмотр видео поэтому настроить канал просмотр видака восьмой кнопка стать показывать девица однако недовольный голос заявить восьмой канал ник канал местный тв попытаться обьяснить восьмой канал завод настроить видеомагнитофон вон символ нарисовать ник настроить соседний седьмой время город канал вещание поэтому свободный кнопка дева махнуть рука мол ладный понятно короче уйти домой следующий день середина день цех забежать мужик подойти агрессивный тон спросить творить бля нахуй девчонка обидеть заплатить человек думать сделать дочить слеза довести нихуй сделать свалить прихуесть наезд стать обьяснять мол настроить уйти работать дева ваш показать сказать нормально свидание случиться виноватый первый момент немного обосраться никто знать мочь произойти дева уйти домой хватать мужик отвечать мол дочка плакать настроить уйти изображение дёргаться смотреть невозможно попытаться предложить поехать снова показать работать ответить вызвать мастер обьявление припаять работать слово достать небольшой сумма деньга протянуть произнести пять бакс вернуть сказать дочка занести занести скорый отделаться гадкий история прийтись столкнуться обывательский глупость неприятный образ мерзко деньга нежелание вникать кнопка колёсико тп мастер обьявление тупо припаять перемычка который видак работать любой канал исходить замысел включать определённый канал ехать просто настроить канал сделать хотя наверное должный припаять перемычка тупость обыватель время общество появиться хозяин новый жизнь фон тогдашний общий криминальный обстановка получиться сразу послать далёкий гражданин видаком простить старое воспоминание выйти дом подьезда сегодня жить родственница эпизод всплывать память показать полностью
"А самое прикольное было, когда, зачастую, после настройки задвигаешь эту конструкцию обратно и каналы опять сбиваются.",самый прикольный зачастую настройка задвигать конструкция обратно канал сбиваться
Мажоры. Каналы переключаются со звуком тыг-тыг-тыг.,мажор канал переключаться звук тыг тыг тыг
У нас такой был в Радуге 719.,радуга
"Помню, прокатился в шерстяных носках по линолеуму к телевизору, чтобы переключить программу. Послышался щелчок и программы перестали переключаться. Тогда я и узнал, что эта штука называется СВП-4 и вообще стал ближе к электронике.)",помнить прокатиться шерстяной носок линолеум телевизор переключить программа послышаться щелчок программа перестать переключаться узнать штука называться свп вообще стать близкий электроника
"интересно, почему их надо было всё время подстраивать )",интересно почему всё время подстраивать
"А пультом дистанционного управления, обычно, был самый младший в семье :-)",пульт дистанционный управление обычно самый младший семья
Березка Ц-208,берёзка ц
"На полном серьезе один прикрутил к кнопкам свое изобретение с шестью нитками, и дергал их с дивана. Такой пульт ДУ. Было в разделе «советы домашнему мастеру».А ранее этого в магазинах продавалось фабричное ДУ на толстом кабеле, который включалось в разъем на задней панели. Правда оно позволяло только менять громкость и яркость",полный серьёз прикрутить кнопка свой изобретение шесть нитка дёргать диван пульт ду раздел совет домашний мастер ранее магазин продаваться фабричный ду толстой кабель который включаться разъём задний панель правда оно позволять менять громкость яркость
"Вот эти вот красные хуёвины - это переключатели с метров на дециметры. Такие перемычки, джамперы.Без них телек не будет показывать.Мы как-то дежурными по школе были, в учительской убирались, и повытаскивали их все.Ой какой пиздец поднялся через несколько уроков.- Кто это сделал!!!АДИНАДИН1- А хуй его знает, Марьванна....Больше нас не ставили дежурными.",красный хуёвина это переключатель метр дециметр перемычка джампер телек показывать дежурный школа учительский убираться повытаскивать ой пиздец подняться несколько урок это сделать адинадин хуй знать марьванна ставить дежурный
"""Пойди канал переключи""🐨",пойти канал переключить
"Сразу чувствуется хороший телевизор, цветной",сразу чувствоваться хороший телевизор цветной
Настройка каналов в цветном телевизоре 80х🙂,настройка канал цветной телевизор х
"У нас такой был, настройка каналов крайне неудобная была, зато декодер стоял, видак на 8 канале, денди на 7, цветное",настройка канал крайне неудобный зато декодер стоять видак канал денди цветной
У меня с таким модулем был телек Березка Ц281Д,модуль телек берёзка ц далее
"Помню как наверное в 92-93 годах я начал крутить колёсико и искать первые кабельные каналы , 26 канал ,планета и вроде регион. Дело было в Оренбурге))",помнить наверное год начать крутить колёсико искать первый кабельный канал канал планета вроде регион дело оренбург
"Телевизор «Березка»Был такой ) бегал , переключал каналы .",телевизор берёзка бегать переключать канал
"Не помню что это за телевизор, может Рубин. У Радуги блок настройки был вертикальный.",помнить это телевизор рубин радуга блок настройка вертикальный
Красные перемычки (в др. вариантах переключатели) меняли диапазон,красный перемычка др вариант переключатель менять диапазон
Вот эти красные штуки (переключатели выбора диапазона?) пальцАми было очень трудно доставать.,красный штука переключатель выбор диапазон палец очень трудно доставать
аж олдскулы свело,аж олдскула свести
У нас такой был,
Напомнило старого знакомого,напомнить старое знакомый
"Ёбанное общество деградирующих,куда мир катится",ёбанный общество деградировать мир катиться
Камри...)это слово уже давно нарицательное),камри это слово давно нарицательный
"Диван в суперпозиции, так как нет звука, смущает это очень",диван суперпозиция звук смущать это очень
"Мне показалось, или потерпевший первый начал толкаться? Ток сегодня утром в вк попалось старое видео, где гражданин кричал ""я в рот тебя выебу белка"", а получив пару пуль с травмата начал звать ментов, и чуть позже журналистам рассказал почти такую же историю",показаться потерпевший первый начать толкаться ток сегодня утром вк попасться старое видео гражданин кричать рот выести белок получить пара пуля травмат начать звать мент поздний журналист рассказать история
17-19 секунда видно как торпедируется левое зеркало камри,секунда видно торпедироваться левый зеркало камри
На регистраторе 2017,регистратор
"Причем тут вообще 90е, если это самый банальный быдлозамес на дороге. Один вышел, распустив крылышки, думал, что щас все обоссутся от того, что он ходил в качалочку пару раз в месяц, но у оппонента оказались аргументы повесомее потных подмышек, и вот бычок уже побежал по кругу, не забыв сломать зеркало, надо ж хоть кому-то или чему-то всечь, раз крылья уже расправлены. А описание под видео очень хорошо иллюстрирует картинку-мем ""алло, полиция? У меня украли резиновые члены!"". А вообще да, битва жабы и гадюки, один бычок глупый, другой просто долбаёб, который день и ночь мечтал светануть своей пукалкой и поскорее отправиться на зону.",причём вообще это самый банальный быдлозамес дорога выйти распустить крылышко думать обосстись ходить качалочка пара месяц оппонент оказаться аргумент весомый потный подмышка бычок побежать круг забыть сломать зеркало всечь крыло расправить описание видео очень иллюстрировать картинка мем алло полиция украсть резиновый член вообще битва жаба гадюка бычок глупый просто долбаести который день ночь мечтать светануть свой пукалка скорый отправиться зона
"А в чем проблема переехать его? Я бы даже не думал, после того как увидел бы пистолет, сел бы сразу за руль и пиздец мрази бы этой был. Раскатал бы тоньше папиросной бумаги.",проблема переехать думать увидеть пистолет сесть сразу руль пиздец мразь раскатать тонкий папиросный бумага
"Проблема в несовершенстве УК в плане самообороны, выбор невелик: либо умри, либо на нары.Ну потянулся он к стволу- ебаш в бороду, а он заяву накатит, или он тупой башкой в бордюр - натянут за непреднамеренное.Хорошо он бегуну в спину не пальнул.",проблема несовершенство ук план самооборона выбор небольшой либо умереть либо нары потянуться ствол ебаш борода заява накатить тупой башка бордюр натянутый непреднамеренный бегун спина пальнуть
"«Затем он сказал, что отъедет с места, после чего вернётся и убьёт меня. Так он и сделал…»Ну и каково оно там? Интернет, я гляжу, и до тудова уже дошел. Это у вас там местные провайдеры или старлинки ловите?",затем сказать отъехать место вернуться убить сделать каковой оно интернет глядеть тудов дойти это местный провайдер старлинк ловить
"В середине 90х меня остановили бандосы- откуда такая машина, кто у тебя старшие. Второй раз подрезал чорт, вышли из машин. 2010 год. Ты меня подрезал, ты охуел? Говорю- так ты со второстепенной поворачивал и мне не было времени тормознуть, а то обычно не трудно пропустить. 35 лет за рулем в мегаполисе. Возможно нужно не быть дебилом и нормально ездить?",середина х остановить бандос откуда машина старший второй подрезать чорт выйти машина год подрезать охуесть говорить второстепенный поворачивать время тормознуть обычно трудно пропустить год руль мегаполис возможно нужно дебил нормально ездить
"Ебала жаба гадюку.Выбежал спортик на разборки, начал толкаться а потом обрсрался и – «памагити палиция!!!»..Черти.",ебал жаба гадюка выбежать спортик разборка начать толкаться обрсраться памагить палиция чёрт
Чувствуется недосказанность,чувствоваться недосказанность
"Нехуй вообще из машины выходить и бычить, вышел - будь готов что тебя тут и положат. Все кто сразу выскакивают из машины, считают себя крутыми. Подожди минуту выдохни, потом разбирайся. И оппонент увидит, что ты не агрессивный.",нехуй вообще машина выходить бычить выйти готовый положить сразу выскакивать машина считать крутой подождать минута выдохнуть разбираться оппонент увидеть агрессивный
Тойота Камри. 90% людей на них неадекваты.,тойота камри человек неадекват
"""до настоящего времени со мной никто из правоохранителей не связывался.""Ну так ясное дело, никого не убили, чего их занятых тревожить то?",настоящий время никто правоохранитель связываться ясный дело никто убить занятой тревожить
Мэн с пистолем видимо давно на похоронах не был.,мэн пистоль видимо давно похороны
Как вы заебали чо своими 90-ми. Как можно из-за пары идиотов писать такую хуйню? Ты жил в 90? Ты щас страдаешь также как в 90?,заебали свой ми пара идиот писать хуйня жить страдать также
"А нахера было вылезать из машины, чтобы порамсить и помахать перед ним руками? Следующий раз будешь знать, прежде чем быковать, что оппонент может быть не так прост",нахер вылезать машина порамсить помахать рука следующий знать прежде быковать оппонент простой
На чёрное ставок нет что ли???,чёрный ставка
"Да нормальная музыка, чё вы. Только под неё экшен-камера нужна, которая как бы из-за спины снимает всё.",нормальный музыка экшен камера нужный который спина снимать всё
"Нахуй надо, он же с пистолетиком, вдруг застрелит 🤣🤣🤣",нахуй пистолетик застрелить
"Это вам не мизулиной под дверь срать 🤣 , тут о преступнике ничего не известно и вообще вас же не убили , чего пришли ?",это мизулин дверь срать преступник известно вообще убить прислать
"Зачем писать заявление в правоохранительные органы? Пишите в местный паблик для мигрантов: я такой-то нуждаюсь в помощи, поможете - буду ислам проповедовать, мамой клянусь жиесть.Можно Кадыровым обратиться напрямую.Знакомый на сво,о чеченцах отзывается только в положительном ключе.",писать заявление правоохранительный орган писать местный паблик мигрант нуждаться помощь помочь ислам проповедовать мама клясться жибыть кадыров обратиться напрямую знакомый сво чеченец отзываться положительный ключ
Догнался бы на машине и затаранил бы,догнаться машина затаранить
"Блин это такая хорошая получилась, милая зарисовка. Про любовь))",блин это хороший получиться милый зарисовка любовь
"Пельмени в тарелке, как медали блестят,В кастрюле кипят, словно старт для ребят.Тесто упругое, мясо внутри,Силу дают нам для новой игры!На поле, в спортзале — энергия бьёт,Пельмень — наш допинг, он к победам зовёт.Сметана и кетчуп, венчают успех,С пельменями в брюхе — ты круче всех!Бегут марафонцы, штангу рвут атлеты,Пельмени в обед — и нету запретов.С бульоном горячим, с начинкой мясной,Спорт с пельменями — это путь мой и твой!",пельмень тарелка медаль блестеть кастрюля кипеть словно старт ребята тесто упругий мясо внутри сила давать новый игра поле спортзал энергия бить пельмень наш допинг победа звать сметана кетчуп венчать успех пельмень брюхо крутой бежать марафонец штанга рвать атлет пельмень обед нету запрет бульон горячий начинка мясной спорт пельмень это путь твой
Не разогревши 🤔,разогреть
"не понимаю людей, накладывающих соус на всю горку пельменей сразу. у меня индивидуальный подход",понимать человек накладывать соус горка пельмень сразу индивидуальный подход
"@Maximlogin, однажды ты приведёшь форму в порядок и уделаешь этих троих слабаков",однажды привести форма порядок уделать трое слабак
Какая выдержка! Какое взаимопонимание!,выдержка взаимопонимание
В две смены работаете над поеданием пельменей. Не бережёте себя :),смена работать поедание пельмень беречь
Музыка:Секретная служба. Плоть в ночи,музыка секретный служба плоть ночь
Я поражаюсь конечно как у вас не иссякают идеи и как долго вы выдаёте реально качественный контент. Продолжайте в том же духе!,поражаться иссякать идея долго выдавать реально качественный контент продолжать дух
И вот что характерно! Днём Пал Палыч сам предложил пельмешек — супруга отказалась.Ночью Пал Палыч потянулся к пельмешку — супруга не дала...,характерный день пасть павлович предложить пельмешек супруг отказаться ночью пасть павлович потянуться пельмешек супруг дать
"А главное, руками, да ещё холодные, ух бля вкуснятина!,",главное рука ещё холодное ух бля вкуснятина
"Мне нравится, что в ролике нет осуждения и насмешки)Не в сторону пельменей, не в сторону упражнений.",нравиться ролик осуждение насмешка сторона пельмень сторона упражнение
"Вот, сразу видно что пара друг другу подходит, у них абсолютно общие интересы)",сразу видно пара друг друг подходить абсолютно общий интерес
Сливочное масло и соевый соус,сливочный масло соевый соус
Хочу такую пижаму! Гугл не помог. Можно намек?),хотеть пижама гугл помочь намёк
"Футболка суперская у Пал Палыча, так подходит к кетчупу и пельменям)))",футболка суперскай пасть павлович подходить кетчуп пельмень
"На бэке бас-гитара играет Пневмослон - Пошло всё в жопу, сяду на коня 😆",бэк бас гитара играть пневмослон пойти всё жопа сесть конь
За Сикрет Сервус отдельный плюсец,сикрет сервус отдельный плюсец
"Без кетчунеза едят пельмени, ЖОЗники!",кетчунез пельмень жозник
С кетчупом пельмеши :/,кетчуп пельмешить
